"","journal_issn","year","title","authors","journal","volume","issue","pages","doi","apa_reference","link","citation_count","abstract","first_author_affiliation","first_author_country","open_access","n_authors","status","docType","scholarlyOutput","citationCount","citeScore","percentCited","subjectCode.3200","rank.3200","percentile.3200","subjectCode.2700","rank.2700","percentile.2700","journal_meta_title","publisher","journal_coverageStartYear","journal_coverageEndYear","journal_is_openAccess","openAccess_articles","openArchive_articles","openAccess_type","openAccess_start_date","openAccess_allow_author_paid"
"11","09567976","2024","Gender Differences in Climbing up the Ladder: Why Experience Closes the Ambition Gender Gap","Wald, K.A., Abraham, M., Pike, B., Galinsky, A.D.","Psychological Science","35","11","1287-1307","10.1177/09567976241266778","Wald, K.A., Abraham, M., Pike, B., Galinsky, A.D. (2024). Gender Differences in Climbing up the Ladder: Why Experience Closes the Ambition Gender Gap. Psychological Science, 35(11), 1287-1307. https://doi.org/10.1177/09567976241266778","https://doi.org/10.1177/09567976241266778","1","Women are unequally represented in the highest positions in society. Beyond discrimination and bias, women are missing from the top because they are less likely to pursue high-ranking opportunities. We propose that experience is a critical moderator of gender differences in pursuing leadership opportunities, with low-experience women being particularly unlikely to seek higher level positions. We used field analyses of 96 years of U.S. senator and governor elections to examine male and female politicians’ propensity to run for higher political offices. As predicted, among those with little political experience, women were less likely than men to run for higher office, but experience closed this gender gap. A preregistered experiment among U.S.-based adults replicated the field findings and revealed that it was the increased self-confidence of experienced women that reduced the gender gap. The findings suggest experience, and the self-confidence that comes with it, is one lever for closing the gender gap in seeking to climb professional hierarchies.","Columbia Business School","United States","0","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"12","09567976","2024","Racial Minorities Face Discrimination From Across the Political Spectrum When Seeking to Form Ties on Social Media: Evidence From a Field Experiment","Nair, K., Mosleh, M., Kouchaki, M.","Psychological Science","35","11","1278-1286","10.1177/09567976241274738","Nair, K., Mosleh, M., Kouchaki, M. (2024). Racial Minorities Face Discrimination From Across the Political Spectrum When Seeking to Form Ties on Social Media: Evidence From a Field Experiment. Psychological Science, 35(11), 1278-1286. https://doi.org/10.1177/09567976241274738","https://doi.org/10.1177/09567976241274738","0","We conducted a preregistered field experiment examining racial discrimination in tie formation on social media. We randomly assigned research accounts varying on race (Black, White) and politics (liberal/Democrat, conservative/Republican, neutral) to follow a politically balanced sample of Twitter (i.e., X) users (N = 5,951) who were unaware they were in a research study. We examined three predictions from the social and political psychology literatures: i) individuals favor White over Black targets, ii) this tendency is stronger for conservatives/Republicans than for liberals/Democrats, and iii) greater discrimination by conservatives/Republicans is explained by the assumption that racial minorities are liberal/Democrat. We found evidence that individuals were less likely to reciprocate social ties with Black accounts than White accounts. However, this tendency was not moderated by individuals’ political orientation, shared partisanship, or partisan mismatch. In sum, this work provides field experimental evidence for racial discrimination in tie formation on social media by individuals across political backgrounds.","Oxford Social Sciences Division","United Kingdom","0","3","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"13","09567976","2024","The Gender-Equality Paradox in Intraindividual Academic Strengths: a Cross-Temporal Analysis","Balducci, M., Larose, M.P., Stoet, G., Geary, D.C.","Psychological Science","35","11","1246-1259","10.1177/09567976241271330","Balducci, M., Larose, M.P., Stoet, G., Geary, D.C. (2024). The Gender-Equality Paradox in Intraindividual Academic Strengths: a Cross-Temporal Analysis. Psychological Science, 35(11), 1246-1259. https://doi.org/10.1177/09567976241271330","https://doi.org/10.1177/09567976241271330","0","Independent of overall achievement, girls’ intraindividual academic strength is typically reading, whereas boys’ strength is typically mathematics or science. Sex differences in intraindividual strengths are associated with educational and occupational sex disparities in science, technology, engineering, and mathematics (STEM) fields. Paradoxically, these sex differences are larger in more gender-equal countries, but the stability of this paradox is debated. We assessed the stability of the gender-equality paradox in intraindividual strengths, and its relation to wealth, by analyzing the academic achievement of nearly 2.5 million adolescents across 85 countries and regions in five waves (from 2006 to 2018) of the Programme for International Student Assessment (PISA). Girls’ intraindividual strength in reading and boys’ strength in mathematics and science were stable across countries and waves. Boys’ advantage in science as an intraindividual strength was larger in more gender-equal countries, whereas girls’ advantage in reading was larger in wealthier countries. The results have implications for reducing sex disparities in STEM fields.","Turun yliopisto","Finland","1","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"14","09567976","2024","People Place Larger Bets When Risky Choices Provide a Postbet Option to Cash Out","Bennett, D., Albertella, L., Forbes, L., Hayes, T., Verdejo-Garcia, A., Walasek, L., Ludvig, E.A.","Psychological Science","35","11","1231-1245","10.1177/09567976241266516","Bennett, D., Albertella, L., Forbes, L., Hayes, T., Verdejo-Garcia, A., Walasek, L., Ludvig, E.A. (2024). People Place Larger Bets When Risky Choices Provide a Postbet Option to Cash Out. Psychological Science, 35(11), 1231-1245. https://doi.org/10.1177/09567976241266516","https://doi.org/10.1177/09567976241266516","0","After a risky choice, decision makers must frequently wait out a delay period before the outcome of their choice becomes known. In contemporary sports-betting apps, decision makers can “cash out” of their bet during this delay period by accepting a discounted immediate payout. An important open question is how availability of a postchoice cash-out option alters choice. We investigated this question using a novel gambling task that incorporated a cash-out option during the delay between bet and outcome. Across two experiments (N = 240 adults, recruited via Prolific), cash-out availability increased participants’ bet amounts by up to 35%. Participants who were more likely to cash out when odds deteriorated were less likely to cash out when odds improved. Furthermore, the effect of cash-out availability on bet amounts was positively correlated with individual differences in cash-out propensity for bets with deteriorating odds only. These results suggest that cash-out availability may promote larger bets by allowing bettors to avoid losing their entire stake.","Faculty of Science, Engineering and Medicine","United Kingdom","1","7","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"15","09567976","2024","Electroencephalogram Decoding Reveals Distinct Processes for Directing Spatial Attention and Encoding Into Working Memory","Jones, H.M., Diaz, G.K., Ngiam, W.X.Q., Awh, E.","Psychological Science","35","10","1108-1138","10.1177/09567976241263002","Jones, H.M., Diaz, G.K., Ngiam, W.X.Q., Awh, E. (2024). Electroencephalogram Decoding Reveals Distinct Processes for Directing Spatial Attention and Encoding Into Working Memory. Psychological Science, 35(10), 1108-1138. https://doi.org/10.1177/09567976241263002","https://doi.org/10.1177/09567976241263002","2","Past work reveals a tight relationship between spatial attention and storage in visual working memory. But is spatially attending an item tantamount to working memory encoding? Here, we tracked electroencephalography (EEG) signatures of spatial attention and working memory encoding while independently manipulating the number of memory items and the spatial extent of attention in two studies of adults (N = 39; N = 33). Neural measures of spatial attention tracked the position and size of the attended area independent of the number of individuated items encoded into working memory. At the same time, multivariate decoding of the number of items stored in working memory was insensitive to variations in the breadth and position of spatial attention. Finally, representational similarity analyses provided converging evidence for a pure load signal that is insensitive to the spatial extent of the stored items. Thus, although spatial attention is a persistent partner of visual working memory, it is functionally dissociable from the selection and maintenance of individuated representations in working memory.","Institute for Mind and Biology, The University of Chicago","United States","0","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"16","09567976","2024","The Double-Edged Sword of Social Sharing: Social Sharing Predicts Increased Emotion Differentiation When Rumination Is Low but Decreased Emotion Differentiation When Rumination Is High","Sels, L., Erbas, Y., O’Brien, S.T., Verhofstadt, L., Clark, M.S., Kalokerinos, E.K.","Psychological Science","35","10","1079-1093","10.1177/09567976241266513","Sels, L., Erbas, Y., O’Brien, S.T., Verhofstadt, L., Clark, M.S., Kalokerinos, E.K. (2024). The Double-Edged Sword of Social Sharing: Social Sharing Predicts Increased Emotion Differentiation When Rumination Is Low but Decreased Emotion Differentiation When Rumination Is High. Psychological Science, 35(10), 1079-1093. https://doi.org/10.1177/09567976241266513","https://doi.org/10.1177/09567976241266513","0","Laypeople believe that sharing their emotional experiences with others will improve their understanding of those experiences, but no clear empirical evidence supports this belief. To address this gap, we used data from four daily life studies (N = 659; student and community samples) to explore the association between social sharing and subsequent emotion differentiation, which involves labeling emotions with a high degree of complexity. Contrary to our expectations, we found that social sharing of emotional experiences was linked to greater subsequent emotion differentiation on occasions when people ruminated less than usual about these experiences. In contrast, on occasions when people ruminated more than usual about their experiences, social sharing of these experiences was linked to lower emotion differentiation. These effects held when we controlled for levels of negative emotion. Our findings suggest that putting feelings into words through sharing may only enable emotional precision when that sharing occurs without dwelling or perseverating.","Melbourne School of Psychological Sciences","Australia","0","6","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"17","09567976","2024","Directing Attention Shapes Learning in Adults but Not Children","Tandoc, M.C., Nadendla, B., Pham, T., Finn, A.S.","Psychological Science","35","10","1139-1154","10.1177/09567976241263347","Tandoc, M.C., Nadendla, B., Pham, T., Finn, A.S. (2024). Directing Attention Shapes Learning in Adults but Not Children. Psychological Science, 35(10), 1139-1154. https://doi.org/10.1177/09567976241263347","https://doi.org/10.1177/09567976241263347","0","Children sometimes learn distracting information better than adults do, perhaps because of the development of selective attention. To understand this potential link, we ask how the learning of children (aged 7–9 years) and the learning of adults differ when information is the directed focus of attention versus when it is not. Participants viewed drawings of common objects and were told to attend to the drawings (Experiment 1: 42 children, 35 adults) or indicate when shapes (overlaid on the drawings) repeated (Experiment 2: 53 children, 60 adults). Afterward, participants identified fragments of these drawings as quickly as possible. Adults learned better than children when directed to attend to the drawings; however, when drawings were task irrelevant, children showed better learning than adults in the first half of the test. And although directing attention to the drawings improved learning in adults, children learned the drawings similarly across experiments regardless of whether the drawings were the focus of the task or entirely irrelevant.","University of Toronto","Canada","1","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"18","09567976","2024","Does Valuing Happiness Lead to Well-Being?","Huang, K.J.","Psychological Science","35","10","1155-1163","10.1177/09567976241263784","Huang, K.J. (2024). Does Valuing Happiness Lead to Well-Being?. Psychological Science, 35(10), 1155-1163. https://doi.org/10.1177/09567976241263784","https://doi.org/10.1177/09567976241263784","0","Happiness has become one of the most important life goals worldwide. However, does valuing happiness lead to better well-being? This study investigates the effect of valuing happiness on well-being using a population-based longitudinal survey of Dutch adults (N = 8,331) from 2019 to 2023. Random-intercept cross-lagged panel models indicated that those who valued happiness generally exhibited higher well-being as manifested by life satisfaction, more positive affect, and less negative affect. However, increases in valuing happiness did not result in changes in life satisfaction 1 year later and had mixed emotional consequences (i.e., increasing both positive and negative affect). Additional analyses using fixed-effects models indicated that valuing happiness had contemporaneous positive effects on well-being. These findings indicate that endorsing happiness goals may have immediate psychological benefits but may not necessarily translate into long-term positive outcomes.","Graduate School of Human and Environmental Studies","Japan","0","1","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"19","09567976","2024","Exploration, Distributed Attention, and Development of Category Learning","Wan, Q., Sloutsky, V.M.","Psychological Science","35","10","1164-1177","10.1177/09567976241258146","Wan, Q., Sloutsky, V.M. (2024). Exploration, Distributed Attention, and Development of Category Learning. Psychological Science, 35(10), 1164-1177. https://doi.org/10.1177/09567976241258146","https://doi.org/10.1177/09567976241258146","0","Category learning is a crucial aspect of cognition that involves organizing entities into equivalence classes. Whereas adults tend to focus on category-relevant features, young children often distribute attention between relevant and irrelevant ones. The reasons for children’s distributed attention are not fully understood. In two category-learning experiments with adults and with children aged 4, 5, and 6 (N = 201), we examined potential drivers of distributed attention, including (a) immature filtering of distractors and (b) the general tendency for exploration or broad information sampling. By eliminating distractor competition, we reduced filtering demands. Despite identifying the features critical for accurate categorization, children, regardless of their categorization performance, continued sampling more information than was necessary. These results indicate that the tendency to sample information extensively contributes to distributed attention in young children. We identify candidate drivers of this tendency that need to be examined in future research.","The Ohio State University","United States","0","2","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"20","09567976","2024","Children Sustain Cooperation in a Threshold Public-Goods Game Even When Seeing Others’ Outcomes","Kanngiesser, P., Sunderarajan, J., Hafenbrädl, S., Woike, J.K.","Psychological Science","35","10","1094-1107","10.1177/09567976241267854","Kanngiesser, P., Sunderarajan, J., Hafenbrädl, S., Woike, J.K. (2024). Children Sustain Cooperation in a Threshold Public-Goods Game Even When Seeing Others’ Outcomes. Psychological Science, 35(10), 1094-1107. https://doi.org/10.1177/09567976241267854","https://doi.org/10.1177/09567976241267854","1","Many societal challenges are threshold dilemmas requiring people to cooperate to reach a threshold before group benefits can be reaped. Yet receiving feedback about others’ outcomes relative to one’s own (relative feedback) can undermine cooperation by focusing group members’ attention on outperforming each other. We investigated the impact of relative feedback compared to individual feedback (only seeing one’s own outcome) on cooperation in children from Germany and India (6- to 10-year-olds, N = 240). Using a threshold public-goods game with real water as a resource, we show that, although feedback had an effect, most groups sustained cooperation at high levels in both feedback conditions until the end of the game. Analyses of children’s communication (14,374 codable utterances) revealed more references to social comparisons and more verbal efforts to coordinate in the relative-feedback condition. Thresholds can mitigate the most adverse effects of social comparisons by focusing attention on a common goal.","Freie Universität Berlin","Germany","1","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
