"","file","test_report","p_value","p_value_reporting","p_value_num","use_p_val","p_value_calc"
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._13","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(4,30744) = 2.60, p = .034","p = .034","exact",0.034,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._14","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","easy trials: F(2,47) = 7.65, p <.01","p <.01","limit",0.01,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._15","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml"," average difficulty: F(2,47) = 16.67, p <.001","p <.001","limit",0.001,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._16","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","; hard trials: F(2,47) = 19.78, p <.001","p <.001","limit",0.001,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._17","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","accuracy: χ 2 (2) = 2421.63, p < .001, BF10 = 9.47e+113","p < .001","calc_from_chi_squared",0.001,TRUE,0
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._18","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","; RTs: F(2,30837) = 316.29, p < .001, BF10 = 75239472401","p < .001","limit",0.001,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._19","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","accuracy: χ 2 (2) = 0.3, p = .863, BF10 = 0.03","p = .863","exact",0.863,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._110","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml"," RTs: F(2,47) = 2.06, p = .14, BF10 = 13.96","p = .14","exact",0.14,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._111","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","accuracy: χ 2 (4) = 4.528, p = .34, BF10 = .019","p = .34","exact",0.34,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._112","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","; RTs: F(4, 30837) = 1.024, p = 0.3930 , BF10 = .014","p = 0.3930","exact",0.393,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._113","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(4,31412) = 4.98, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Experiment 2: Manipulating prior beliefs via differences in task difficulty during training._11","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(2,46) = 8.19, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Experiment 2: Manipulating prior beliefs via differences in task difficulty during training._12","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(2,30109) = 2122.11, p < .001, BF10 = 1.77083e+64, with no interaction between both, F(4,30109","p < .001","limit",0.001,TRUE,NA
"RESULTS__Experiment 2: Manipulating prior beliefs via differences in task difficulty during training._13","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","","p = .99","exact",0.99,TRUE,NA
"RESULTS__Experiment 2: Manipulating prior beliefs via differences in task difficulty during training._14","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml"," RTs: F(2,46) = 0.01, p = 0.99, BF10 = .03","p = 0.99","exact",0.99,TRUE,NA
"RESULTS__Experiment 2: Manipulating prior beliefs via differences in task difficulty during training._15","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","accuracy: χ 2 (4) = 1.6, p = .81, BF10 = .012","p = .81","exact",0.81,TRUE,NA
"RESULTS__Experiment 2: Manipulating prior beliefs via differences in task difficulty during training._16","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","; RTs: F(4,30109) = 1.52, p = 0.19, BF10 = .01","p = 0.19","exact",0.19,TRUE,NA
"RESULTS__Experiment 2: Manipulating prior beliefs via differences in task difficulty during training._17","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","block, F(4,30091) = 2.3, p = 0.056","p = 0.056","exact",0.056,TRUE,NA
"RESULTS__Quantitative model fitting_11","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(2,48) = 6.92, p = .002, BF10 = 7.4838542e+7, and with easier training difficulty in Experiment 2, F(2,47","p = .002","exact",0.002,TRUE,NA
"RESULTS__Quantitative model fitting_12","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(2,47) = 7.02, p = .002","p = .002","exact",0.002,TRUE,NA
"RESULTS__Quantitative model fitting_13","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(2,48) = 194.27, p < .001, BF10 = 8.145035e+36 and Experiment 2, F(2,47","p < .001","limit",0.001,TRUE,NA
"RESULTS__Quantitative model fitting_14","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(2,47) = 251.68, p <.001","p <.001","limit",0.001,TRUE,NA
"RESULTS__Quantitative model fitting_15","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","Experiment 1: F(4,30306) = 1.07, p = .37, BF10 = .01","p = .37","exact",0.37,TRUE,NA
"RESULTS__Quantitative model fitting_16","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","; Experiment 2: F(4,29519) = 0.38, p = .82, BF10 = .01","p = .82","exact",0.82,TRUE,NA
"RESULTS__Qualitative model fitting_11","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","feedback, F(2,94) = 450.02, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Qualitative model fitting_12","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","task, F(2,92) = 64.97, p < .001","p < .001","limit",0.001,TRUE,NA
"INTRODUCTION__Political-orientation measures_1","downloads/Psychological_Science/10117709567976241232905.grobid.tei.xml"," (for recent work suggesting this assessment is strongly correlated with the average of the social and economic conservatism measure, r = .94, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_11","downloads/Psychological_Science/10117709567976241232905.grobid.tei.xml","minimum b = 0.017, p = .011","p = .011","exact",0.011,TRUE,NA
"RESULTS__Results_12","downloads/Psychological_Science/10117709567976241232905.grobid.tei.xml"," maximum b = 0.061, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_13","downloads/Psychological_Science/10117709567976241232905.grobid.tei.xml","p = .007","p = .007","exact",0.007,TRUE,NA
"RESULTS__Results_14","downloads/Psychological_Science/10117709567976241232905.grobid.tei.xml","p = .016","p = .016","exact",0.016,TRUE,NA
"DISCUSSION__Moderation of accuracy-prompt effect by political orientation_11","downloads/Psychological_Science/10117709567976241232905.grobid.tei.xml","p = .007 ","p = .007","exact",0.007,TRUE,NA
"DISCUSSION__Moderation of accuracy-prompt effect by political orientation_12","downloads/Psychological_Science/10117709567976241232905.grobid.tei.xml"," and p = .016,","p = .016","exact",0.016,TRUE,NA
"METHODS__Analysis_11","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","r = -.15, CI = (-0.50, 0.24), p = .44,","p = .44","exact",0.44,TRUE,NA
"METHODS__Analysis_12","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","r = -.26, CI = (-0.58, 0.12), p = .18, see discussion","p = .18","exact",0.18,TRUE,NA
"RESULTS__Results Exp. 1A_11","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","p = .004, Cohen","p = .004","exact",0.004,TRUE,NA
"RESULTS__Results Exp. 1A_12","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","χ 2 (1) = 7.25, p = .007","p = .007","exact",0.007,TRUE,NA
"RESULTS__Results Exp. 1A_13","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(19) = 1.18, p = .25, d = 0.26, CI = (0.19, 0.71","p = .25","exact",0.25,TRUE,NA
"RESULTS__Results Exp. 1A_14","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(14.337) = 4.12, p < .001, d = 1.04, CI = (0.4, 1.67","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results Exp. 1b_11","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(29) = 4.03, p = .0004, d = 0.74, CI = (0.33, 1.14","p = .0004","exact",4e-04,TRUE,NA
"RESULTS__Results Exp. 1b_12","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(29) = 0.49, p = .63, d = 0.09, CI = (0.27, 0.45","p = .63","exact",0.63,TRUE,NA
"RESULTS__Results Exp. 1b_13","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","χ 2 (1) = 9.48, p = .002","p = .002","exact",0.002,TRUE,NA
"RESULTS__Results Exp. 2a_11","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(29) = 2.78, p = .009, d = 0.51, CI = (0.12, 0.88","p = .009","exact",0.009,TRUE,NA
"RESULTS__Results Exp. 2a_12","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(29) = 0.32, p = .75, d = 0.06, CI = (0.30, 0.42","p = .75","exact",0.75,TRUE,NA
"RESULTS__Results Exp. 2a_13","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(38.64) = 3.95, p < .001, d = 1.08, CI = (.61, 1.54","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results Exp. 2a_14","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","χ 2 (1) = 3.53, p = .06","p = .06","exact",0.06,TRUE,NA
"RESULTS__Results Exp. 2a_15","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","t(19) = 2.38, p = .03, d = 0.53, CI = (0.06, 0.99","p = .03","exact",0.03,TRUE,NA
"RESULTS__Results Exp. 2a_16","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","in d' (d' = 2.23 vs 2.41; t(19) = 1.07, p = .3","p = .3","exact",0.3,TRUE,NA
"RESULTS__Results Exp. 2a_17","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","χ 2 (1) = 9.48, p = .002","p = .002","exact",0.002,TRUE,NA
"RESULTS__General Discussion_1","downloads/Psychological_Science/10117709567976241237737.grobid.tei.xml","r = -.15, p = .44","p = .44","exact",0.44,TRUE,NA
"RESULTS__Manipulation Check_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, d = 0.72, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Check_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, d = 0.52, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Check_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, d = 0.76, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Check_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, d = 0.51, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F (1, 599) =.301, p = .58, BF10 = .072","p = .58","exact",0.58,TRUE,NA
"RESULTS__Product Judgment_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F (1, 599) = 1.09, p = .296, BF10 = .032","p = .296","exact",0.296,TRUE,NA
"RESULTS__Product Judgment_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .004, d = .204, 95","p = .004","exact",0.004,TRUE,NA
"RESULTS__Product Judgment_17","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .062, d = .26, 95","p = .062","exact",0.062,TRUE,NA
"RESULTS__Product Judgment_18","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_19","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_110","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p =.001, ","p =.001","exact",0.001,TRUE,NA
"RESULTS__Product Judgment_111","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_112","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_113","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_114","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_115","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_116","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .73","p = .73","exact",0.73,TRUE,NA
"RESULTS__Product Judgment_117","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .094, ","p = .094","exact",0.094,TRUE,NA
"RESULTS__Product Judgment_118","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .001, ","p = .001","exact",0.001,TRUE,NA
"RESULTS__Product Judgment_119","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_120","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .031, ","p = .031","exact",0.031,TRUE,NA
"RESULTS__Product Judgment_121","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .78","p = .78","exact",0.78,TRUE,NA
"RESULTS__Product Judgment_122","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_123","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_124","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","likely false extraction: p < .001","p < .001","limit",0.001,FALSE,NA
"RESULTS__Product Judgment_125","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .163","p = .163","exact",0.163,TRUE,NA
"RESULTS__Product Judgment_126","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_127","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .043, ","p = .043","exact",0.043,TRUE,NA
"RESULTS__Product Judgment_128","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .29, ","p = .29","exact",0.29,TRUE,NA
"RESULTS__Product Judgment_129","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .86, ","p = .86","exact",0.86,TRUE,NA
"RESULTS__Product Judgment_130","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_131","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Product Judgment_132","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .018, ","p = .018","exact",0.018,TRUE,NA
"RESULTS__Product Judgment_133","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Gender of the Gender-obvious Voice_1","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .021, d = 0.189, 95","p = .021","exact",0.021,TRUE,NA
"RESULTS__Social Disfluency_1","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, d = 0.61, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Difficulty Processing the Information_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, d = 0.24, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Difficulty Processing the Information_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p =.81","p =.81","exact",0.81,TRUE,NA
"RESULTS__Social Disfluency GENDER AMBIGUOUS VOICES_1","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, d = 0.61, 95","p <.001","limit",0.001,TRUE,NA
"RESULTS__Pretest_1","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__GENDER AMBIGUOUS VOICES_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__GENDER AMBIGUOUS VOICES_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__GENDER AMBIGUOUS VOICES_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p =.166, ","p =.166","exact",0.166,TRUE,NA
"RESULTS__GENDER AMBIGUOUS VOICES_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__GENDER AMBIGUOUS VOICES_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__GENDER AMBIGUOUS VOICES_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__GENDER AMBIGUOUS VOICES_17","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F(1, GENDER AMBIGUOUS VOICES 1795) = .121, p = .729","p = .729","exact",0.729,TRUE,NA
"RESULTS__Manipulation Checks_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__Manipulation Checks_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","X 2 (1, N = 1799) = 1453.88, p < .001, V = .67","p < .001","limit",0.001,TRUE,NA
"RESULTS__Prejudice Scale_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .88, ","p = .88","exact",0.88,TRUE,NA
"RESULTS__Prejudice Scale_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .39, ","p = .39","exact",0.39,TRUE,NA
"RESULTS__Prejudice Scale_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .52, ","p = .52","exact",0.52,TRUE,NA
"RESULTS__Prejudice Scale_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Prejudice Scale_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F(1, 1794) = .12, p = .73","p = .73","exact",0.73,TRUE,NA
"RESULTS__Prejudice Scale_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","likely false extraction: p = .092, ","p = .092","exact",0.092,FALSE,NA
"RESULTS__Prejudice Scale_17","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","likely false extraction: p = .36, ","p = .36","exact",0.36,FALSE,NA
"RESULTS__LGBTQ Perception_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","n.","n.s","limit",NA,TRUE,NA
"RESULTS__LGBTQ Perception_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .032, ","p = .032","exact",0.032,TRUE,NA
"RESULTS__LGBTQ Perception_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__LGBTQ Perception_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__LGBTQ Perception_15","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p < .001, ","p < .001","limit",0.001,TRUE,NA
"RESULTS__LGBTQ Perception_16","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","F (1,602) = .063, p = .80","p = .80","exact",0.8,TRUE,NA
"RESULTS__Method_11","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p = .128, ","p = .128","exact",0.128,TRUE,NA
"RESULTS__Method_12","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Method_13","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__Method_14","downloads/Psychological_Science/10117709567976241238222.grobid.tei.xml","p <.001, ","p <.001","limit",0.001,TRUE,NA
"RESULTS__How does loneliness change with age?_1","downloads/Psychological_Science/10117709567976241242037.grobid.tei.xml","B = 0.07, SE = 0.03, p = .01","p = .01","exact",0.01,TRUE,NA
"RESULTS__Results_1110","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001,d = 0.36,95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_122","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .018, d = 0.19, 95","p = .018","exact",0.018,TRUE,NA
"RESULTS__Results_131","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001, d = 0.27, 95","p < .001","limit",0.001,TRUE,NA
"RESULTS__Results_141","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p = .08, d = 0.11, 95","p = .08","exact",0.08,TRUE,NA
"RESULTS__Results_15","downloads/Psychological_Science/10117709567976241242462.grobid.tei.xml","p < .001, d = 0.21, 95","p < .001","limit",0.001,TRUE,NA
